client_id,risk_appetite,category,asset_type,asset_name,value,purchase_date,annual_return,is_international,sector
CL100000,Conservative,Equities,Stock,PG,318.32,2020-10-13,0.0125,False,Consumer Staples
CL100000,Conservative,Equities,Stock,AAPL,50.53,2022-11-28,0.0079,False,Technology
CL100000,Conservative,Equities,Mutual Fund,FCNTX,116.22,2023-04-15,0.0408,True,Growth
CL100000,Conservative,Equities,Mutual Fund,VTSMX,153.47,2020-10-23,0.0098,False,Broad Market
CL100000,Conservative,Equities,Stock,V,204.82,2016-06-09,0.3023,False,Financials
CL100000,Conservative,Equities,Stock,AMZN,517.3,2021-09-13,0.0784,False,Consumer Discretionary
CL100000,Conservative,Equities,ETF,VTI,74.92,2016-12-14,-0.0469,False,Broad Market
CL100000,Conservative,Equities,ETF,QQQ,242.86,2024-06-06,0.1787,False,Technology
CL100000,Conservative,Equities,ETF,VGT,301.89,2016-06-19,-0.0665,False,Technology
CL100000,Conservative,Equities,Stock,V,16.0,2021-04-09,0.1051,False,Financials
CL100000,Conservative,Equities,Stock,PG,314.61,2018-06-20,-0.1552,False,Consumer Staples
CL100000,Conservative,Equities,Mutual Fund,SWPPX,62.89,2017-08-13,-0.0628,False,Broad Market
CL100000,Conservative,Equities,Stock,AAPL,22.62,2016-11-05,0.1036,False,Technology
CL100000,Conservative,Equities,ETF,QQQ,1000.23,2015-10-19,0.1686,False,Technology
CL100000,Conservative,Bonds,Corporate Bond,BLV,3597.55,2016-02-29,0.0486,False,Long-Term
CL100000,Conservative,Bonds,Corporate Bond,High Yield,8469.56,2023-03-02,0.0342,False,High Yield
CL100000,Conservative,Cash,Cash,Savings Account,466.73,2018-09-07,0.017,False,Bank Deposit
CL100000,Conservative,Cash,Cash,Money Market,300.22,2023-09-07,0.0065,False,Money Market
CL100000,Conservative,Cash,Cash,T-Bills,1673.48,2022-06-28,0.0112,False,Short-Term Government
CL100000,Conservative,Real Estate,REIT,PLD,189.15,2016-11-24,0.0023,False,Industrial
CL100000,Conservative,Real Estate,REIT,IYR,36.72,2016-06-27,0.1312,False,Diversified
CL100000,Conservative,Real Estate,Property,Commercial,391.76,2023-02-24,0.1731,False,Commercial
CL100001,Moderately Conservative,Equities,ETF,VTI,8192.49,2019-03-22,0.3015,False,Broad Market
CL100001,Moderately Conservative,Equities,Mutual Fund,SWPPX,3784.25,2020-09-17,-0.1003,False,Broad Market
CL100001,Moderately Conservative,Equities,Mutual Fund,VTSAX,4111.44,2023-12-19,0.1951,False,Broad Market
CL100001,Moderately Conservative,Equities,Mutual Fund,VTSAX,3100.56,2024-12-27,0.1784,True,Broad Market
CL100001,Moderately Conservative,Equities,Stock,AMZN,143.12,2016-08-19,0.0827,False,Consumer Discretionary
